car,1.27,91,0.97,231.38,1.39,1.47,207.92,241.74,244.48,21.41,20.4,18.69,2.19,0.48,0.87,6.23,1.6,0.74,-0.08,56,4219.69,1.33,97,1.12,227.19,1.32,1.42,203.95,237.23,240.38,27.63,28.36,26.18,2,0.5,0.85,6.29,1.67,0.7,-0.08,56,3806.36,1.33,97,1.12,227.19,1.32,1.42,203.95,237.23,240.38,27.63,28.36,26.18,2,0.5,0.85,6.29,1.67,0.7,-0.08,56,3806.36,1.33,97,1.12,227.19,1.32,1.42,203.95,237.23,240.38,27.63,28.36,26.18,2,0.5,0.85,6.29,1.67,0.7,-0.08,56,3806.36,1.33,97,1.12,227.19,1.32,1.42,203.95,237.23,240.38,27.63,28.36,26.18,2,0.5,0.85,6.29,1.67,0.7,-0.08,56,3806.36,1.33,97,1.12,227.19,1.32,1.42,203.95,237.23,240.38,27.63,28.36,26.18,2,0.5,0.85,6.29,1.67,0.7,-0.08,56,3806.36,1.33,97,1.12,227.19,1.32,1.42,203.95,237.23,240.38,27.63,28.36,26.18,2,0.5,0.85,6.29,1.67,0.7,-0.08,56,3806.36
concrete,2.36,241,1.56,216.15,2.46,2.51,187.85,229.39,231.2,6.57,6.97,7.02,1.52,0.45,0.63,6.35,1.55,0.69,-0.1,156,3682.08,3.01,1188,1.45,209.44,2.25,3.54,181.91,222.46,223.95,9.82,10.37,10.51,2.97,0.63,0.65,7.16,1.43,0.83,-0.1,488,2581.63,4.53,3861,1.96,207.24,3,4.7,180.61,219.54,221.58,18.98,19.62,19.38,1.64,0.7,0.5,8.04,1.47,0.45,-0.1,1168,1877.18,4.68,5544,1.93,205.53,3.17,5.12,178.89,217.71,220.01,18.86,19.94,19.61,2.26,0.74,0.48,8.14,1.28,0.78,-0.1,1526,1757.87,4.68,5544,1.93,205.53,3.17,5.12,178.89,217.71,220.01,18.86,19.94,19.61,2.26,0.74,0.48,8.14,1.28,0.78,-0.1,1526,1757.87,4.57,7711,1.66,211.94,2.9,4.97,186.31,223.83,225.68,22.62,22.92,22.29,2.25,0.79,0.55,8.42,1.38,0.81,-0.09,1746,1450.14,4.57,7711,1.66,211.94,2.9,4.97,186.31,223.83,225.68,22.62,22.92,22.29,2.25,0.79,0.55,8.42,1.38,0.81,-0.09,1746,1450.14
concrete,2.12,266,1.47,232.18,2.07,2.21,206.54,244.22,245.79,6.16,4.93,5.53,1.14,0.52,0.78,6.19,1.88,0.19,-0.08,144,2943.35,2.32,1095,1.5,232.5,1.93,2.55,208.36,244.07,245.08,6.55,7.01,6.83,2.19,0.49,0.74,6.51,1.61,0.81,-0.08,338,3087.91,2.05,4368,1.27,224.42,1.98,2.22,202.85,234.48,235.94,13.07,13.26,12.99,2.19,0.75,0.71,7.16,1.61,0.82,-0.07,586,1245.19,2.05,4368,1.27,224.42,1.98,2.22,202.85,234.48,235.94,13.07,13.26,12.99,2.19,0.75,0.71,7.16,1.61,0.82,-0.07,586,1245.19,1.93,4606,1.17,222.97,1.87,2.08,201.51,232.96,234.43,15.35,15.93,15.59,2.19,0.76,0.74,7.24,1.68,0.81,-0.07,566,1094.04,1.93,4606,1.17,222.97,1.87,2.08,201.51,232.96,234.43,15.35,15.93,15.59,2.19,0.76,0.74,7.24,1.68,0.81,-0.07,566,1094.04,1.93,4606,1.17,222.97,1.87,2.08,201.51,232.96,234.43,15.35,15.93,15.59,2.19,0.76,0.74,7.24,1.68,0.81,-0.07,566,1094.04
concrete,2.42,399,1.28,230.4,2.49,2.73,204.6,243.27,243.32,5.76,5.56,5.46,2.51,0.5,0.74,6.28,1.51,0.83,-0.09,218,3550.19,3.16,4009,2.28,231.57,3.48,3.47,204.77,245.17,244.76,9.55,9.35,9.34,2.27,0.63,0.62,7.04,1.32,0.84,-0.09,878,2194.4,3.26,4834,2.04,231.28,2.89,3.56,205.87,244.14,243.82,12.02,10.36,10.25,2.26,0.69,0.65,7.19,1.51,0.77,-0.09,990,1718.9,3.5,7622,1.91,232.09,2.83,4.19,205.48,245.53,245.26,10.44,9.36,9.35,3.38,0.67,0.62,7.01,1.16,0.93,-0.09,1464,1785.12,3.5,7622,1.91,232.09,2.83,4.19,205.48,245.53,245.26,10.44,9.36,9.35,3.38,0.67,0.62,7.01,1.16,0.93,-0.09,1464,1785.12,2.41,10482,1.41,226.65,2.06,2.88,200.18,239.93,239.83,13.69,13.75,13.51,3.34,0.82,0.74,7.44,1.36,0.92,-0.09,1178,1125.38,2.41,10482,1.41,226.65,2.06,2.88,200.18,239.93,239.83,13.69,13.75,13.51,3.34,0.82,0.74,7.44,1.36,0.92,-0.09,1178,1125.38
concrete,2.15,944,1.73,193.18,2.28,4.1,165.98,205.55,208,11.46,8.9,9.77,12.26,0.71,0.59,7.36,0.63,0.99,-0.11,504,2300.41,2.15,944,1.73,193.18,2.28,4.1,165.98,205.55,208,11.46,8.9,9.77,12.26,0.71,0.59,7.36,0.63,0.99,-0.11,504,2300.41,2.08,3026,1.97,202.17,2.52,3.94,181.47,211.9,213.15,16.86,13.9,14.43,12.07,0.87,0.69,7.9,0.68,1,-0.08,866,965.85,2.53,8862,2.1,196.33,2.89,6.57,180.56,203.81,204.62,16.01,16.5,17.48,24.83,0.84,0.59,7.97,0.43,1,-0.06,2474,1130.22,2.53,8862,2.1,196.33,2.89,6.57,180.56,203.81,204.62,16.01,16.5,17.48,24.83,0.84,0.59,7.97,0.43,1,-0.06,2474,1130.22,3.34,16680,2.37,193.39,5.03,12.06,172.13,203.14,204.91,17.38,14.93,15.65,50.08,0.85,0.49,8.15,0.23,1,-0.08,6232,1146.38,3.34,16680,2.37,193.39,5.03,12.06,172.13,203.14,204.91,17.38,14.93,15.65,50.08,0.85,0.49,8.15,0.23,1,-0.08,6232,1146.38
tree,3.11,169,1.47,172.22,2.49,3.35,240.18,127.65,148.83,8.41,10.34,11.5,1.87,0.43,0.55,6.44,1.38,0.7,0.31,174,4707.12,3.25,747,1.55,161.3,2.53,3.33,228.44,117.25,138.2,16.32,14.66,15.47,1.02,0.74,0.69,7.54,1.81,0.55,0.32,364,1764.09,1.88,1318,1,162.91,1.93,1.91,224.17,121.94,142.62,22.66,19.62,20.41,1.06,0.84,0.82,7.9,2.05,0.55,0.3,278,1058.38,4.15,2517,1.97,161.02,2.88,4.39,222.03,120.4,140.62,23.37,22.87,23.51,1.89,0.81,0.62,8.19,1.5,0.71,0.3,880,1333.1,3.05,4174,1.5,161.92,2,3.35,222.62,121.92,141.23,29.25,26.42,26.38,2.31,0.84,0.79,8.17,1.8,0.68,0.29,866,943.96,3.05,4174,1.5,161.92,2,3.35,222.62,121.92,141.23,29.25,26.42,26.38,2.31,0.84,0.79,8.17,1.8,0.68,0.29,866,943.96,3.05,4174,1.5,161.92,2,3.35,222.62,121.92,141.23,29.25,26.42,26.38,2.31,0.84,0.79,8.17,1.8,0.68,0.29,866,943.96
car,1.2,44,0.79,208.8,1.14,1.36,180.95,221.61,223.82,35.42,36.45,35.17,2,0.54,0.89,5.84,1.58,0.63,-0.1,36,4340.51,1.2,44,0.79,208.8,1.14,1.36,180.95,221.61,223.82,35.42,36.45,35.17,2,0.54,0.89,5.84,1.58,0.63,-0.1,36,4340.51,1.2,44,0.79,208.8,1.14,1.36,180.95,221.61,223.82,35.42,36.45,35.17,2,0.54,0.89,5.84,1.58,0.63,-0.1,36,4340.51,3.16,2329,1.73,101.78,2.56,3.5,90.81,104.81,109.73,43.89,42.52,41.82,2.39,0.88,0.57,8.46,1.3,0.88,-0.07,676,872.29,3.16,2329,1.73,101.78,2.56,3.5,90.81,104.81,109.73,43.89,42.52,41.82,2.39,0.88,0.57,8.46,1.3,0.88,-0.07,676,872.29,3.13,2706,1.86,112.58,2.53,3.36,99.39,116.71,121.65,50.1,53.91,53.36,2.09,0.87,0.62,8.47,1.46,0.81,-0.08,700,879.82,3.13,2706,1.86,112.58,2.53,3.36,99.39,116.71,121.65,50.1,53.91,53.36,2.09,0.87,0.62,8.47,1.46,0.81,-0.08,700,879.82
car,1,88,0.22,234.51,1.11,1.12,208.5,246.48,248.56,12.3,11.29,8.81,2,0.44,0.93,6.08,1.78,0.6,-0.08,42,4213.84,1,94,0.21,229.01,1.04,1.08,203.76,240.55,242.73,23.15,26.56,25.2,2,0.43,0.97,6.13,1.8,0.58,-0.08,42,3423.81,1,94,0.21,229.01,1.04,1.08,203.76,240.55,242.73,23.15,26.56,25.2,2,0.43,0.97,6.13,1.8,0.58,-0.08,42,3423.81,1.25,225,0.64,173.45,1.33,1.33,149.34,183.78,187.22,63.46,66.77,65.38,1.77,0.76,0.87,7.17,1.96,0.44,-0.1,80,1652.39,1.25,225,0.64,173.45,1.33,1.33,149.34,183.78,187.22,63.46,66.77,65.38,1.77,0.76,0.87,7.17,1.96,0.44,-0.1,80,1652.39,3.13,2706,1.86,112.58,2.53,3.36,99.39,116.71,121.65,50.1,53.91,53.36,2.09,0.87,0.62,8.47,1.46,0.81,-0.08,700,879.82,3.13,2706,1.86,112.58,2.53,3.36,99.39,116.71,121.65,50.1,53.91,53.36,2.09,0.87,0.62,8.47,1.46,0.81,-0.08,700,879.82
building,1.59,1737,0.67,219.61,1.3,1.64,185.86,233.84,239.13,7.08,7.03,7.28,1.49,0.47,0.9,6.51,2.15,0.51,-0.11,274,2637.73,1.22,2602,0.56,220.98,1.26,1.24,188.22,235.03,239.68,10.98,9.75,9.35,1.17,0.7,0.91,6.92,2.29,0.29,-0.11,254,1515.99,1.22,2602,0.56,220.98,1.26,1.24,188.22,235.03,239.68,10.98,9.75,9.35,1.17,0.7,0.91,6.92,2.29,0.29,-0.11,254,1515.99,1.16,3120,0.48,223.47,1.33,1.17,193.77,236.34,240.29,17.07,11.53,10.65,1.02,0.87,0.91,7.38,2.34,0.11,-0.1,262,848.44,1.16,3120,0.48,223.47,1.33,1.17,193.77,236.34,240.29,17.07,11.53,10.65,1.02,0.87,0.91,7.38,2.34,0.11,-0.1,262,848.44,1.16,3120,0.48,223.47,1.33,1.17,193.77,236.34,240.29,17.07,11.53,10.65,1.02,0.87,0.91,7.38,2.34,0.11,-0.1,262,848.44,1.16,3120,0.48,223.47,1.33,1.17,193.77,236.34,240.29,17.07,11.53,10.65,1.02,0.87,0.91,7.38,2.34,0.11,-0.1,262,848.44
tree,2.37,153,1.3,120.24,2.85,2.59,184.15,81.5,95.06,10.21,11.99,11.3,2.05,0.56,0.64,6.62,1.57,0.5,0.39,128,4474.26,1.97,171,1.4,123.27,2.54,2.18,187.46,84.09,98.25,14.1,13.92,14.52,1.97,0.66,0.72,6.81,1.66,0.51,0.38,114,2950.14,2.17,657,0.92,135.75,2.36,2.24,192.75,101.12,113.37,34.34,25.13,25.13,1.42,0.88,0.74,8.14,2,0.35,0.31,230,898.97,2.17,657,0.92,135.75,2.36,2.24,192.75,101.12,113.37,34.34,25.13,25.13,1.42,0.88,0.74,8.14,2,0.35,0.31,230,898.97,2.74,983,1.68,117.76,2.95,2.97,158.84,92.98,101.45,59.72,29.26,30.7,2.01,0.95,0.57,8.21,1.42,0.74,0.26,372,340.46,2.74,983,1.68,117.76,2.95,2.97,158.84,92.98,101.45,59.72,29.26,30.7,2.01,0.95,0.57,8.21,1.42,0.74,0.26,372,340.46,2.74,983,1.68,117.76,2.95,2.97,158.84,92.98,101.45,59.72,29.26,30.7,2.01,0.95,0.57,8.21,1.42,0.74,0.26,372,340.46
