concrete,1.32,131,0.81,222.74,1.66,2.18,192.94,235.11,240.15,11.24,11.47,11.24,8.18,0.43,0.78,6.64,0.87,0.99,-0.1,100,4322.47,1.32,131,0.81,222.74,1.66,2.18,192.94,235.11,240.15,11.24,11.47,11.24,8.18,0.43,0.78,6.64,0.87,0.99,-0.1,100,4322.47,1.19,452,0.49,196.82,1.27,1.46,169.6,208.71,212.17,18.48,20.9,22.09,3.47,0.71,0.92,7.44,1.56,0.87,-0.1,124,2271.21,3.65,1522,2.7,181.04,5.48,3.69,155.76,192.34,195.03,34.93,39.49,39.17,1.13,0.73,0.28,8.4,1.21,0.23,-0.11,576,1789.91,3.65,1522,2.7,181.04,5.48,3.69,155.76,192.34,195.03,34.93,39.49,39.17,1.13,0.73,0.28,8.4,1.21,0.23,-0.11,576,1789.91,2.75,7618,2.43,189.73,3.62,3.4,163.61,201.29,204.28,25.25,28.33,28.3,3.82,0.79,0.57,8.35,0.96,0.96,-0.1,1188,1298.99,2.93,9172,2.5,185.14,3.94,3.95,159.45,196.43,199.53,27.81,31.55,31.15,5.04,0.8,0.58,8.56,0.82,0.98,-0.1,1512,1287.52
shadow,1.59,864,0.94,47.56,1.41,1.87,36.82,48.78,57.09,8.15,8.02,8.36,3.05,0.43,0.85,6.75,1.81,0.73,-0.14,220,3331.33,1.08,1353,0.46,49.12,1.09,1.33,38.29,50.4,58.67,8.84,9.97,10.55,3.7,0.51,0.96,6.96,1.67,0.86,-0.14,196,3063.33,1.07,1377,0.46,49.82,1.07,1.32,38.88,51.21,59.38,10.07,11.89,12.01,3.7,0.52,0.96,7.01,1.69,0.86,-0.14,196,2659.74,1.07,1377,0.46,49.82,1.07,1.32,38.88,51.21,59.38,10.07,11.89,12.01,3.7,0.52,0.96,7.01,1.69,0.86,-0.14,196,2659.74,1.07,1377,0.46,49.82,1.07,1.32,38.88,51.21,59.38,10.07,11.89,12.01,3.7,0.52,0.96,7.01,1.69,0.86,-0.14,196,2659.74,1.07,1377,0.46,49.82,1.07,1.32,38.88,51.21,59.38,10.07,11.89,12.01,3.7,0.52,0.96,7.01,1.69,0.86,-0.14,196,2659.74,1.07,1377,0.46,49.82,1.07,1.32,38.88,51.21,59.38,10.07,11.89,12.01,3.7,0.52,0.96,7.01,1.69,0.86,-0.14,196,2659.74
shadow,1.41,409,1,51.38,1.37,1.53,41.72,51.96,60.48,8.11,9.2,9.61,1.94,0.54,0.86,6.51,1.82,0.69,-0.11,124,2816.16,1.75,1094,1.91,49.05,1.84,1.98,40.06,50.07,57.02,10.54,10.81,11.55,2.57,0.49,0.75,6.93,1.49,0.88,-0.11,262,2668.96,2.53,2826,2,45.67,2.85,3.09,38.69,45.68,52.63,9.9,10.7,11.01,3.58,0.61,0.59,7.02,1.14,0.93,-0.08,658,2289.55,2.3,2901,2,46.57,2.78,2.79,40.01,46.34,53.36,14.49,11.78,12.31,3.57,0.65,0.6,7.11,1.16,0.93,-0.07,602,1432.44,2.3,2901,2,46.57,2.78,2.79,40.01,46.34,53.36,14.49,11.78,12.31,3.57,0.65,0.6,7.11,1.16,0.93,-0.07,602,1432.44,2.3,2901,2,46.57,2.78,2.79,40.01,46.34,53.36,14.49,11.78,12.31,3.57,0.65,0.6,7.11,1.16,0.93,-0.07,602,1432.44,3.33,5932,1.69,55.06,2.68,3.89,59.76,48.66,56.76,30.65,18.59,18.75,3.09,0.9,0.63,8.32,1.38,0.84,0.1,1198,720.38
tree,2.58,187,1.91,70.08,3.41,3.11,93.13,55.2,61.92,28.6,15.88,15.09,3.23,0.73,0.5,7.28,1.03,0.89,0.26,170,2442.01,2.86,871,2.22,90.21,3.34,3.93,117.16,72.76,80.7,42.07,27.05,27.38,5.25,0.84,0.51,8.56,0.89,0.95,0.23,464,1234.84,2.86,871,2.22,90.21,3.34,3.93,117.16,72.76,80.7,42.07,27.05,27.38,5.25,0.84,0.51,8.56,0.89,0.95,0.23,464,1234.84,2.86,871,2.22,90.21,3.34,3.93,117.16,72.76,80.7,42.07,27.05,27.38,5.25,0.84,0.51,8.56,0.89,0.95,0.23,464,1234.84,2.18,1660,1.65,69.8,2.2,3.22,86.22,58.03,65.15,47.93,26.7,27.67,6.33,0.89,0.7,8.56,1.1,0.96,0.2,524,891.36,2.18,1660,1.65,69.8,2.2,3.22,86.22,58.03,65.15,47.93,26.7,27.67,6.33,0.89,0.7,8.56,1.1,0.96,0.2,524,891.36,2.18,1660,1.65,69.8,2.2,3.22,86.22,58.03,65.15,47.93,26.7,27.67,6.33,0.89,0.7,8.56,1.1,0.96,0.2,524,891.36
asphalt,2.6,116,2.05,89.57,3.06,3.02,73.17,94.89,100.64,5.41,5.2,5.27,2.3,0.43,0.59,6.02,1.23,0.82,-0.13,130,4912.28,4.02,501,2.33,100.69,4.29,4.4,83.66,106.21,112.19,15.39,16.5,16.44,2.24,0.64,0.45,7.28,1.13,0.79,-0.12,394,2574.5,4.59,1367,1.91,113.93,3.07,4.65,98.87,118.98,123.95,25.07,23.28,22.31,1.1,0.77,0.58,8.15,1.63,0.19,-0.09,688,1548.87,3.7,1585,1.48,109.12,2.7,3.77,94.22,114.11,119.04,27.34,26.61,25.83,1.08,0.79,0.71,8.27,1.83,0.2,-0.1,600,1396.74,2.53,2351,1.05,96.24,2,2.56,82.84,100.31,105.55,30.51,32.6,32.05,1.01,0.83,0.75,8.62,2.08,0.08,-0.1,496,1194.76,2.53,2351,1.05,96.24,2,2.56,82.84,100.31,105.55,30.51,32.6,32.05,1.01,0.83,0.75,8.62,2.08,0.08,-0.1,496,1194.76,2.53,2351,1.05,96.24,2,2.56,82.84,100.31,105.55,30.51,32.6,32.05,1.01,0.83,0.75,8.62,2.08,0.08,-0.1,496,1194.76
building,1.3,727,0.34,189.54,1.37,1.35,177.71,188.86,202.07,6.82,6.67,6.98,1.37,0.48,0.89,6.49,2.24,0.25,-0.03,146,2944.01,2.06,1011,1.36,188.59,1.99,2.14,177.04,187.66,201.08,7.69,7.78,8.1,1.56,0.54,0.78,6.69,1.96,0.4,-0.03,272,2839.01,2.06,1011,1.36,188.59,1.99,2.14,177.04,187.66,201.08,7.69,7.78,8.1,1.56,0.54,0.78,6.69,1.96,0.4,-0.03,272,2839.01,2.99,1407,1.5,187.59,2.52,3.11,177.13,186.57,199.09,13.76,15.1,15.19,1.54,0.66,0.66,7.09,1.81,0.34,-0.03,466,1719.17,4.95,3477,2.61,192.52,4.28,5.38,195.03,187.22,195.3,24.23,24.39,23,2.13,0.9,0.37,8.21,1.08,0.82,0.02,1268,711.77,6.95,5283,2.74,184.05,6.37,7.17,192.87,175.16,184.12,28.69,31.87,30.39,1.6,0.88,0.2,8.55,0.99,0.77,0.05,2084,853.23,5.99,9815,2.21,198.23,3.89,6.23,197.04,192.86,204.78,25.74,34.33,34.04,1.68,0.86,0.16,8.43,1.1,0.69,0.01,2468,924.57
asphalt,2.33,457,1.03,78.03,2.41,2.5,62.75,83.78,87.57,7.79,7.89,8.17,2.09,0.56,0.64,6.66,1.63,0.71,-0.14,214,3020.89,3.71,1476,1.8,76.45,2.62,3.81,61.83,81.51,86.01,11.31,10.44,10.45,1.4,0.57,0.61,7.05,1.61,0.59,-0.14,586,2301.7,3.71,1476,1.8,76.45,2.62,3.81,61.83,81.51,86.01,11.31,10.44,10.45,1.4,0.57,0.61,7.05,1.61,0.59,-0.14,586,2301.7,2.59,2650,1.36,70.76,1.86,2.64,57.8,74.95,79.53,24.7,26.97,26.92,1.38,0.76,0.81,7.85,2.05,0.45,-0.13,544,1206.55,2.59,2650,1.36,70.76,1.86,2.64,57.8,74.95,79.53,24.7,26.97,26.92,1.38,0.76,0.81,7.85,2.05,0.45,-0.13,544,1206.55,5.76,8570,2.43,71.07,4.11,6.09,59.19,74.65,79.37,20.46,21.64,21.67,1.93,0.78,0.5,7.93,1.28,0.72,-0.12,2256,1246.38,5.96,9484,2.38,68.47,3.72,6.33,57.15,71.85,76.4,21,22.69,22.85,1.93,0.8,0.47,8.02,1.28,0.76,-0.11,2466,1178.71
grass,2.81,213,1.7,186.84,2.37,2.98,195.35,183.2,181.97,7.08,6.37,6.92,1.83,0.5,0.66,6.41,1.59,0.54,0.03,174,3439.14,3.54,666,1.84,190.32,2.71,3.56,196.37,188.25,186.35,9.23,10.47,10.47,1.07,0.61,0.63,7,1.74,0.24,0.02,368,2665.72,2.86,1420,1.13,181.47,1.92,2.96,191.13,176.93,176.35,16.43,16.71,15.73,1.38,0.77,0.72,7.57,1.95,0.42,0.04,446,1425.02,2.67,3069,1.55,180.36,2.42,2.92,179.35,182.51,179.21,18.15,16.49,15.22,2.21,0.83,0.58,7.93,1.4,0.84,-0.01,646,1153.88,2.75,6698,1.76,175.66,2.42,2.77,181.36,173.76,171.85,15.55,18.61,17.17,1.07,0.82,0.6,7.81,1.76,0.24,0.02,906,1200.97,2.75,6698,1.76,175.66,2.42,2.77,181.36,173.76,171.85,15.55,18.61,17.17,1.07,0.82,0.6,7.81,1.76,0.24,0.02,906,1200.97,2.75,6698,1.76,175.66,2.42,2.77,181.36,173.76,171.85,15.55,18.61,17.17,1.07,0.82,0.6,7.81,1.76,0.24,0.02,906,1200.97
tree,2.19,145,1.81,181.15,3.1,2.37,217.18,159.08,167.19,13.26,12.31,11.26,1.39,0.77,0.6,6.67,1.5,0.44,0.15,114,1825.23,2.12,367,1.3,175.9,2.56,2.32,214.08,151.59,162.03,14.23,17.9,13.87,2.19,0.77,0.67,7.25,1.58,0.71,0.17,178,1773.57,2.2,802,1.42,167.19,2.12,2.52,202.5,145.43,153.64,19.66,18.57,17.74,2.81,0.85,0.74,7.75,1.45,0.83,0.16,286,996.57,2.36,4905,1.15,156.01,1.85,2.46,181.98,140.91,145.15,21.62,20,18.33,1.7,0.87,0.78,8.11,2.02,0.49,0.13,688,859.38,2.71,5111,1.33,154.53,2.4,2.97,180.09,139.66,143.84,23.68,21.04,19.56,2.3,0.88,0.77,8.18,1.91,0.57,0.13,850,776.46,2.71,5111,1.33,154.53,2.4,2.97,180.09,139.66,143.84,23.68,21.04,19.56,2.3,0.88,0.77,8.18,1.91,0.57,0.13,850,776.46,2.71,5111,1.33,154.53,2.4,2.97,180.09,139.66,143.84,23.68,21.04,19.56,2.3,0.88,0.77,8.18,1.91,0.57,0.13,850,776.46
building,1.53,304,0.95,140.3,2.16,1.66,118.05,160.32,142.52,14.75,16.14,16.01,1.79,0.58,0.82,7.02,1.84,0.66,-0.15,116,3020.88,3.17,499,2.01,145.42,4.1,3.27,124.95,162.33,148.99,23.16,22.89,23.6,1.42,0.66,0.47,7.79,1.36,0.55,-0.13,292,2832,3.17,499,2.01,145.42,4.1,3.27,124.95,162.33,148.99,23.16,22.89,23.6,1.42,0.66,0.47,7.79,1.36,0.55,-0.13,292,2832,3.78,1317,2.24,125.31,4.29,4.06,114.42,134.84,126.68,37.64,40.76,36.74,2,0.81,0.48,8.6,1.21,0.77,-0.08,590,1423.16,5.7,2689,2.49,120.11,5.06,6.1,124.25,117.94,118.12,46.96,46.75,43.06,1.93,0.85,0.43,9.08,1.16,0.77,0.03,1266,1158.58,5.7,2689,2.49,120.11,5.06,6.1,124.25,117.94,118.12,46.96,46.75,43.06,1.93,0.85,0.43,9.08,1.16,0.77,0.03,1266,1158.58,5.18,2922,2.45,126.67,4.66,5.51,128.93,125.64,125.44,48.77,52.77,49.04,1.93,0.85,0.46,9.08,1.2,0.79,0.01,1192,1076.84
pool,1.84,329,1.27,153.44,1.96,1.93,180.02,139.89,140.4,8.67,9.38,8.41,1.22,0.62,0.71,6.72,1.84,0.3,0.13,140,2840.64,1.84,329,1.27,153.44,1.96,1.93,180.02,139.89,140.4,8.67,9.38,8.41,1.22,0.62,0.71,6.72,1.84,0.3,0.13,140,2840.64,2.09,2366,1.4,149.55,2.02,2.21,179.78,131.76,137.1,28.38,30.19,28.61,1.82,0.87,0.74,8.51,1.84,0.69,0.15,430,942.34,2.09,2366,1.4,149.55,2.02,2.21,179.78,131.76,137.1,28.38,30.19,28.61,1.82,0.87,0.74,8.51,1.84,0.69,0.15,430,942.34,2.09,2366,1.4,149.55,2.02,2.21,179.78,131.76,137.1,28.38,30.19,28.61,1.82,0.87,0.74,8.51,1.84,0.69,0.15,430,942.34,1.54,2605,0.84,143.92,1.83,1.62,173.37,126.44,131.94,35.47,33.9,32.48,1.83,0.89,0.81,8.64,1.97,0.66,0.16,330,723.15,1.54,2605,0.84,143.92,1.83,1.62,173.37,126.44,131.94,35.47,33.9,32.48,1.83,0.89,0.81,8.64,1.97,0.66,0.16,330,723.15
grass,1.44,73,0.95,172.08,1.48,1.52,180.96,167.49,167.79,19.65,18.4,17.11,1.33,0.59,0.77,6.27,1.68,0.49,0.04,52,3291.16,2.28,598,1.96,153.57,2.65,2.99,158.1,149.42,153.18,24.01,28.19,26.65,4.4,0.72,0.52,7.93,0.9,0.96,0.03,292,2294.3,2.83,1013,2.17,152.17,3.08,3.47,146.92,153.1,156.48,30.17,32.7,31.02,3.47,0.81,0.44,8.49,0.97,0.91,-0.02,442,1533.05,3.63,1722,2.31,148.61,4.72,4.68,142.7,149.6,153.53,36.17,35.95,34.73,4.33,0.86,0.5,8.9,1,0.89,-0.02,776,1104.69,3.63,1722,2.31,148.61,4.72,4.68,142.7,149.6,153.53,36.17,35.95,34.73,4.33,0.86,0.5,8.9,1,0.89,-0.02,776,1104.69,3.63,1722,2.31,148.61,4.72,4.68,142.7,149.6,153.53,36.17,35.95,34.73,4.33,0.86,0.5,8.9,1,0.89,-0.02,776,1104.69,6.57,6571,2.87,130.57,5.73,6.77,122.37,132.73,136.6,50.03,48.44,47.2,1.53,0.88,0.26,9.38,1.24,0.19,-0.04,2196,879.41
asphalt,1.22,82,0.71,74.1,1.39,1.55,58.48,78.12,85.7,7.68,7.14,6.29,3.17,0.43,0.83,5.89,1.48,0.82,-0.14,56,4242.99,1.9,444,1.3,82.25,2.39,2.16,67.57,86.98,92.2,11.71,10.98,10.8,2.65,0.69,0.7,7.1,1.47,0.82,-0.13,182,2250.8,1.9,444,1.3,82.25,2.39,2.16,67.57,86.98,92.2,11.71,10.98,10.8,2.65,0.69,0.7,7.1,1.47,0.82,-0.13,182,2250.8,1.9,444,1.3,82.25,2.39,2.16,67.57,86.98,92.2,11.71,10.98,10.8,2.65,0.69,0.7,7.1,1.47,0.82,-0.13,182,2250.8,2.29,4292,1.35,93.82,1.93,2.34,82.09,96.68,102.69,32.11,30.14,29.95,1.43,0.85,0.83,8.54,2.06,0.5,-0.08,614,958.86,4.24,7183,1.59,89.43,2.26,4.32,86.15,87.44,94.71,38.2,36.31,35.19,1.37,0.87,0.69,9.01,1.92,0.24,-0.01,1466,863.47,4.24,7183,1.59,89.43,2.26,4.32,86.15,87.44,94.71,38.2,36.31,35.19,1.37,0.87,0.69,9.01,1.92,0.24,-0.01,1466,863.47
